ESPmin_Res,ALIEmin_Res,Co_Mulliken_CoL2,PEOE_VSA10_L,VSA_EState4_L,Co_NPA_CoL2,ln(dr)
-80.68189,8.10193,-0.008311,29.7066049,5.209909925,0.50196,1.9
-80.6715,8.11003,-0.000521,29.7066049,15.26917794,0.51412,1.86
-76.89192,8.16572,-0.02179,41.34104659,5.826932003,0.52499,0.99
-77.53256,8.12765,-0.007335,29.7066049,9.742917538,0.52043,2.24
-79.90683,8.14757,-0.028787,29.7066049,11.68337868,0.52843,1.28
-73.78261,8.0511,0.001851,29.7066049,14.36008528,0.52683,1.67
-81.34503,8.222,0.003584,17.49867213,4.169588303,0.51485,1.45
-80.53027,8.22286,-0.012306,17.49867213,6.430035834,0.51414,0.66
-78.39246,8.08428,0.019235,17.49867213,4.048110334,0.52427,0.36
-80.62846,8.16299,-0.008867,30.71243606,2.12593789,0.52839,1.15
-79.26235,8.10268,0.006169,29.7066049,10.001118,0.51271,1.99
-77.26756,8.04868,-0.019012,18.6287544,2.42436165,0.51046,1.66
-76.9289,8.10083,-0.029882,18.6287544,2.379222762,0.49031,1.66
-74.99579,8.14599,-0.025986,18.6287544,4.829926204,0.49678,1.52
-78.62092,8.27271,-0.034848,18.6287544,-0.541943027,0.50513,1.99
-82.32737,8.08213,-0.085914,18.6287544,1.915045588,0.53824,0.58
-83.47083,8.03499,-0.08038,18.6287544,1.802083123,0.5069,0.71
-79.33982,8.08362,0.004232,29.7066049,18.20993874,0.51918,2.13
-77.43843,7.977,0.020212,23.58924705,4.258371047,0.52893,1.99
-72.7958,8.19351,0.03234,11.73576882,3.973906421,0.53364,0.66
-74.60702,3.97864,-0.00205,13.21376393,2.541357802,0.57169,0.58
-74.60702,3.33901,-0.00205,13.21376393,-0.289789305,0.57169,0.99
-70.25555,8.3277,-0.032302,13.21376393,0.0,0.5319,0.16
-77.08962,7.98431,-0.016947,29.7066049,4.995199041,0.51577,1.52
-71.18614,8.24653,0.00834,13.21376393,0.0,0.55071,0.49
-78.46301,7.9032,0.065678,0.0,4.70975222,0.54213,0.2
-75.88951,8.12867,-0.009989,41.85241212,7.097133367,0.51751,1.32
-80.71784,8.24693,0.002059,17.49867213,4.141243632,0.51804,0.94
-85.23331,8.13354,0.001195,17.49867213,8.480593139,0.55275,1.1
-81.53061,7.96045,-0.135886,18.6287544,4.938604462,0.50327,0.04
-72.64311,8.35737,0.027536,24.29161443,5.244467809,0.55739,1.05
-80.93219,8.10084,-0.019825,29.7066049,9.987422661,0.503,2.24
-79.56293,8.15493,-0.011612,29.7066049,14.28731411,0.53777,1.84
-78.8901,8.11327,-0.021687,29.7066049,15.5531126,0.51722,2.11
-77.02544,8.00025,-0.017898,29.7066049,9.571414082,0.52145,2.27
-78.17631,8.08426,-0.030664,29.7066049,12.28115634,0.51015,2.16
-82.27886,8.05849,-0.033437,41.20562857,8.857225396,0.51047,2.11
-78.44796,8.10262,-0.017689,29.7066049,9.58510942,0.50724,1.97
-79.8806,7.71077,-0.107086,0.0,2.376127068,0.48895,0.71
-78.40407,8.09923,-0.018445,29.7066049,9.514125848,0.50697,2.14
-82.49453,7.67853,-0.072189,0.0,4.941220405,0.49661,1.05
-75.18648,8.05051,0.003205,29.7066049,7.055825323,0.5119,0.99
-81.42324,7.79367,-0.032126,0.0,5.165617336,0.52862,0.99
-83.83985,7.65436,-0.049968,0.0,4.974304141,0.51292,0.94
-80.48987,7.72975,-0.049484,0.0,5.201466911,0.52015,1.05
-81.63801,7.7274,-0.04327,0.0,5.333522452,0.53053,0.8
-63.96895,6.56817,-0.389513,12.50462731,1.182881687,0.32443,-2.03
-56.89177,6.50846,-0.268964,0.0,1.383164105,0.36382,-1.97
-63.30832,6.62693,-0.303174,6.606881965,1.191474138,0.3333,-1.41
-63.794,6.45028,-0.274168,6.606881965,0.0,0.33384,-2.15
-78.30497,8.12369,-0.012469,29.7066049,4.863538043,0.5045,1.74
-61.57889,6.67624,-0.269089,6.606881965,1.08409302,0.3665,-1.1
-60.75598,6.5315,-0.265919,6.606881965,1.432157788,0.36618,-2.83
-49.79051,7.9902,0.162189,18.54646814,2.141191893,0.76316,-1.41
-55.54481,8.43231,-0.10922,13.21376393,9.0778033,0.40127,-1.39
-41.58838,7.26523,-0.320455,11.16604028,1.780026245,0.41023,-1.39
-55.56458,6.57819,-0.255283,6.606881965,-0.420481159,0.36034,-2.48
-49.57997,6.62149,-0.511398,12.08368166,8.363793289,0.15803,-1.1
-49.57997,6.62149,-0.511398,17.99473795,-0.805069444,0.15803,-0.85
-49.57997,6.62149,-0.511398,0.0,3.915752079,0.15803,-0.16
-80.90189,8.1207,-0.031668,29.7066049,9.833561686,0.5305,1.05
-86.75637,8.16679,-0.014122,30.71243606,6.791250928,0.53787,0.66
-84.95702,8.13361,-0.000415,30.71243606,2.182451285,0.51088,1.66
-79.85541,8.18314,-0.046831,29.7066049,15.38849033,0.49755,2.08
-78.70485,8.27431,0.004424,17.49867213,3.604164756,0.52405,0.85
-84.38706,8.26578,-0.001123,17.49867213,4.478642426,0.5362,1.1
-78.87705,8.10307,-0.009109,29.7066049,5.194143202,0.50464,1.66
-78.3206,7.96149,0.002072,29.7066049,5.178376479,0.51273,1.59
-78.10037,8.03868,-0.011274,29.7066049,5.172075038,0.5054,1.45
-77.03017,8.14917,-0.01191,29.7066049,7.600218042,0.50664,1.66
-80.34909,8.08521,-0.019183,29.7066049,5.965763977,0.5197,1.27
-78.11758,8.0769,-0.011107,30.20952048,5.330231401,0.51095,1.15
-78.21273,7.99141,-0.005841,29.7066049,5.165773598,0.50735,1.66
-62.45475,6.52906,-0.27665,12.50462731,2.366290413,0.34886,-3.0
-64.69036,6.47772,-0.229976,18.54646814,2.245571392,0.36985,-3.0
-62.53835,6.46724,-0.290669,6.606881965,1.216089241,0.34116,-2.94
-63.19544,6.37967,-0.266737,12.3563938,1.087596823,0.35188,-2.94
